region,date,age,num_tests,obs_positives
North_East_England,2020-04-26,"(0,11]",3,0
North_East_England,2020-04-26,"(11,16]",2,0
North_East_England,2020-04-26,"(16,25]",0,0
North_East_England,2020-04-26,"(25,50]",3,1
North_East_England,2020-04-26,"(50,70]",9,0
North_East_England,2020-04-26,"(70,Inf]",0,0
North_East_England,2020-04-27,"(0,11]",0,0
North_East_England,2020-04-27,"(11,16]",1,0
North_East_England,2020-04-27,"(16,25]",1,0
North_East_England,2020-04-27,"(25,50]",1,0
North_East_England,2020-04-27,"(50,70]",6,0
North_East_England,2020-04-27,"(70,Inf]",0,0
North_East_England,2020-04-28,"(0,11]",0,0
North_East_England,2020-04-28,"(11,16]",1,0
North_East_England,2020-04-28,"(16,25]",2,0
North_East_England,2020-04-28,"(25,50]",6,0
North_East_England,2020-04-28,"(50,70]",7,0
North_East_England,2020-04-28,"(70,Inf]",2,0
North_East_England,2020-04-29,"(0,11]",2,0
North_East_England,2020-04-29,"(11,16]",3,0
North_East_England,2020-04-29,"(16,25]",0,0
North_East_England,2020-04-29,"(25,50]",7,0
North_East_England,2020-04-29,"(50,70]",2,0
North_East_England,2020-04-29,"(70,Inf]",0,0
North_East_England,2020-04-30,"(0,11]",5,0
North_East_England,2020-04-30,"(11,16]",0,0
North_East_England,2020-04-30,"(16,25]",0,0
North_East_England,2020-04-30,"(25,50]",9,0
North_East_England,2020-04-30,"(50,70]",12,0
North_East_England,2020-04-30,"(70,Inf]",14,0
North_East_England,2020-05-01,"(0,11]",7,0
North_East_England,2020-05-01,"(11,16]",5,0
North_East_England,2020-05-01,"(16,25]",8,0
North_East_England,2020-05-01,"(25,50]",18,0
North_East_England,2020-05-01,"(50,70]",17,0
North_East_England,2020-05-01,"(70,Inf]",0,0
North_East_England,2020-05-02,"(0,11]",7,0
North_East_England,2020-05-02,"(11,16]",6,0
North_East_England,2020-05-02,"(16,25]",6,0
North_East_England,2020-05-02,"(25,50]",29,0
North_East_England,2020-05-02,"(50,70]",42,0
North_East_England,2020-05-02,"(70,Inf]",8,0
North_East_England,2020-05-03,"(0,11]",9,0
North_East_England,2020-05-03,"(11,16]",5,0
North_East_England,2020-05-03,"(16,25]",5,0
North_East_England,2020-05-03,"(25,50]",21,0
North_East_England,2020-05-03,"(50,70]",33,0
North_East_England,2020-05-03,"(70,Inf]",6,0
North_East_England,2020-05-04,"(0,11]",1,0
North_East_England,2020-05-04,"(11,16]",2,0
North_East_England,2020-05-04,"(16,25]",0,0
North_East_England,2020-05-04,"(25,50]",7,0
North_East_England,2020-05-04,"(50,70]",25,0
North_East_England,2020-05-04,"(70,Inf]",9,0
North_East_England,2020-05-05,"(0,11]",3,0
North_East_England,2020-05-05,"(11,16]",4,0
North_East_England,2020-05-05,"(16,25]",7,0
North_East_England,2020-05-05,"(25,50]",18,0
North_East_England,2020-05-05,"(50,70]",17,0
North_East_England,2020-05-05,"(70,Inf]",13,0
North_East_England,2020-05-06,"(0,11]",7,0
North_East_England,2020-05-06,"(11,16]",1,0
North_East_England,2020-05-06,"(16,25]",1,0
North_East_England,2020-05-06,"(25,50]",17,0
North_East_England,2020-05-06,"(50,70]",24,0
North_East_England,2020-05-06,"(70,Inf]",7,0
North_East_England,2020-05-07,"(0,11]",9,0
North_East_England,2020-05-07,"(11,16]",4,0
North_East_England,2020-05-07,"(16,25]",5,0
North_East_England,2020-05-07,"(25,50]",23,0
North_East_England,2020-05-07,"(50,70]",19,0
North_East_England,2020-05-07,"(70,Inf]",11,0
North_East_England,2020-05-08,"(0,11]",8,0
North_East_England,2020-05-08,"(11,16]",5,0
North_East_England,2020-05-08,"(16,25]",12,0
North_East_England,2020-05-08,"(25,50]",30,0
North_East_England,2020-05-08,"(50,70]",31,0
North_East_England,2020-05-08,"(70,Inf]",4,0
North_East_England,2020-05-09,"(0,11]",9,0
North_East_England,2020-05-09,"(11,16]",8,0
North_East_England,2020-05-09,"(16,25]",11,0
North_East_England,2020-05-09,"(25,50]",24,0
North_East_England,2020-05-09,"(50,70]",29,0
North_East_England,2020-05-09,"(70,Inf]",4,0
North_East_England,2020-05-10,"(0,11]",7,0
North_East_England,2020-05-10,"(11,16]",4,0
North_East_England,2020-05-10,"(16,25]",7,0
North_East_England,2020-05-10,"(25,50]",19,0
North_East_England,2020-05-10,"(50,70]",30,0
North_East_England,2020-05-10,"(70,Inf]",4,0
North_East_England,2020-05-11,"(0,11]",7,0
North_East_England,2020-05-11,"(11,16]",6,0
North_East_England,2020-05-11,"(16,25]",3,0
North_East_England,2020-05-11,"(25,50]",30,0
North_East_England,2020-05-11,"(50,70]",37,0
North_East_England,2020-05-11,"(70,Inf]",15,0
North_East_England,2020-05-12,"(0,11]",10,0
North_East_England,2020-05-12,"(11,16]",1,0
North_East_England,2020-05-12,"(16,25]",13,1
North_East_England,2020-05-12,"(25,50]",31,0
North_East_England,2020-05-12,"(50,70]",31,0
North_East_England,2020-05-12,"(70,Inf]",6,0
North_East_England,2020-05-13,"(0,11]",10,0
North_East_England,2020-05-13,"(11,16]",3,0
North_East_England,2020-05-13,"(16,25]",2,0
North_East_England,2020-05-13,"(25,50]",29,0
North_East_England,2020-05-13,"(50,70]",47,0
North_East_England,2020-05-13,"(70,Inf]",18,0
North_East_England,2020-05-14,"(0,11]",17,0
North_East_England,2020-05-14,"(11,16]",12,0
North_East_England,2020-05-14,"(16,25]",9,0
North_East_England,2020-05-14,"(25,50]",49,0
North_East_England,2020-05-14,"(50,70]",60,0
North_East_England,2020-05-14,"(70,Inf]",26,0
North_East_England,2020-05-15,"(0,11]",9,0
North_East_England,2020-05-15,"(11,16]",6,0
North_East_England,2020-05-15,"(16,25]",12,0
North_East_England,2020-05-15,"(25,50]",51,0
North_East_England,2020-05-15,"(50,70]",78,0
North_East_England,2020-05-15,"(70,Inf]",11,0
North_East_England,2020-05-16,"(0,11]",6,0
North_East_England,2020-05-16,"(11,16]",3,0
North_East_England,2020-05-16,"(16,25]",7,0
North_East_England,2020-05-16,"(25,50]",29,0
North_East_England,2020-05-16,"(50,70]",30,0
